slug,puntos_totales,average_points,name,ticker,prettyName
qredo,50,5.0,Qredo,qrdo,QRDO-Qredo
huobi-token,41,4.1000000000000005,Huobi Token,ht,HT-Huobi Token
fantom,40,4.0,Fantom,ftm,FTM-Fantom
ethereum,35,3.5000000000000004,Ethereum,eth,ETH-Ethereum
polkadot,35,3.5000000000000004,Polkadot,dot,DOT-Polkadot
binancecoin,35,3.5000000000000004,Binance Coin,bnb,BNB-Binance Coin
thorchain,35,3.5000000000000004,Thorchain,rune,RUNE-Thorchain
chainlink,31,3.1,ChainLink,link,LINK-ChainLink
bitcoin,30,3.0,Bitcoin,btc,BTC-Bitcoin
solana,30,3.0,Solana,sol,SOL-Solana
maker,30,3.0,Maker,mkr,MKR-Maker
aave,30,3.0,Aave [New],aave,AAVE-Aave [New]
ethereum-classic,28,2.8000000000000003,Ethereum Classic,etc,ETC-Ethereum Classic
helium,27,2.7,Helium,hnt,HNT-Helium
theta-token,26,2.6,Theta Network,theta,THETA-Theta Network
sushi,25,2.5,Sushi,sushi,SUSHI-Sushi
star-atlas-dao,25,2.5,Star Atlas DAO,polis,POLIS-Star Atlas DAO
solchicks-token,25,2.5,SolChicks Token,chicks,CHICKS-SolChicks Token
playermon,25,2.5,Playermon,pym,PYM-Playermon
professional-fighters-league-fan-token,25,2.5,Professional Fighters League Fan Token,pfl,PFL-Professional Fighters League Fan Token
xdce-crowd-sale,25,2.5,XinFin,xdce,XDCE-XinFin
mdex,25,2.5,Mdex,mdx,MDX-Mdex
internet-computer,25,2.5,Internet Computer,icp,ICP-Internet Computer
enq-enecuum,25,2.5,Enecuum,enq,ENQ-Enecuum
concentrated-voting-power,25,2.5,PowerPool Concentrated Voting Power,cvp,CVP-PowerPool Concentrated Voting Power
carvertical,25,2.5,carVertical,cv,CV-carVertical
the-graph,24,2.4,The Graph,grt,GRT-The Graph
ocean-protocol,23,2.3,Ocean Protocol,ocean,OCEAN-Ocean Protocol
reserve-rights-token,23,2.3,Reserve Rights Token,rsr,RSR-Reserve Rights Token
ankr,21,2.1,Ankr,ankr,ANKR-Ankr
siacoin,21,2.1,Siacoin,sc,SC-Siacoin
clearpool,20,2.0,Clearpool,cpool,CPOOL-Clearpool
avalanche-2,20,2.0,Avalanche,AVAX,AVAX-Avalanche
matic-network,20,2.0,Polygon,matic,MATIC-Polygon
pha,18,1.7999999999999998,Phala Network,pha,PHA-Phala Network
lto-network,17,1.7000000000000002,LTO Network,lto,LTO-LTO Network
uniswap,15,1.5,Uniswap,uni,UNI-Uniswap
