slug,puntos_totales,average_points,name,ticker,prettyName
king-shiba,20,0.8695652173913043,King Shiba,kingshib,KINGSHIB-King Shiba
usd-coin,20,0.8695652173913043,USD Coin,usdc,USDC-USD Coin
clearpool,20,0.8695652173913043,Clearpool,cpool,CPOOL-Clearpool
pha,18,0.782608695652174,Phala Network,pha,PHA-Phala Network
lido-staked-sol,18,0.782608695652174,Lido Staked SOL,stsol,STSOL-Lido Staked SOL
lto-network,17,0.7391304347826086,LTO Network,lto,LTO-LTO Network
uniswap,15,0.6521739130434783,Uniswap,uni,UNI-Uniswap
cardano,15,0.6521739130434783,Cardano,ada,ADA-Cardano
matrix-ai-network,15,0.6521739130434783,Matrix AI Network,man,MAN-Matrix AI Network
cosmos,15,0.6521739130434783,Cosmos,atom,ATOM-Cosmos
ethereum-name-service,15,0.6521739130434783,Ethereum Name Service,ens,ENS-Ethereum Name Service
quark-chain,15,0.6521739130434783,QuarkChain,qkc,QKC-QuarkChain
iota,15,0.6521739130434783,IOTA,miota,MIOTA-IOTA
leo-token,15,0.6521739130434783,LEO Token,leo,LEO-LEO Token
optimism,15,0.6521739130434783,Optimism,op,OP-Optimism
omniaverse,15,0.6521739130434783,OmniaVerse,omnia,OMNIA-OmniaVerse
nucleus-vision,15,0.6521739130434783,Nucleus Vision,ncash,NCASH-Nucleus Vision
1inch,15,0.6521739130434783,1inch,1inch,1INCH-1inch
