slug,puntos_totales,average_points,name,ticker,prettyName
wazirx,17,0.41463414634146345,WazirX,wrx,WRX-WazirX
lto-network,17,0.41463414634146345,LTO Network,lto,LTO-LTO Network
nebulas,16,0.3902439024390244,Nebulas,nas,NAS-Nebulas
uniswap,15,0.3658536585365854,Uniswap,uni,UNI-Uniswap
acala,15,0.3658536585365854,Acala,aca,ACA-Acala
frontier-token,15,0.3658536585365854,Frontier,front,FRONT-Frontier
sora,15,0.3658536585365854,Sora,xor,XOR-Sora
binance-usd,15,0.3658536585365854,Binance USD,busd,BUSD-Binance USD
secret,15,0.3658536585365854,Secret,scrt,SCRT-Secret
quark-chain,15,0.3658536585365854,QuarkChain,qkc,QKC-QuarkChain
cardano,15,0.3658536585365854,Cardano,ada,ADA-Cardano
polydoge,15,0.3658536585365854,PolyDoge,polydoge,POLYDOGE-PolyDoge
gamium,15,0.3658536585365854,Gamium,gmm,GMM-Gamium
one-ledger,15,0.3658536585365854,OneLedger,olt,OLT-OneLedger
omniaverse,15,0.3658536585365854,OmniaVerse,omnia,OMNIA-OmniaVerse
nucleus-vision,15,0.3658536585365854,Nucleus Vision,ncash,NCASH-Nucleus Vision
ethereum-name-service,15,0.3658536585365854,Ethereum Name Service,ens,ENS-Ethereum Name Service
leo-token,15,0.3658536585365854,LEO Token,leo,LEO-LEO Token
kava,15,0.3658536585365854,Kava,kava,KAVA-Kava
iota,15,0.3658536585365854,IOTA,miota,MIOTA-IOTA
1inch,15,0.3658536585365854,1inch,1inch,1INCH-1inch
